frame_id,timestamp,left_elbow,right_elbow,elbow_mean,elbow_diff,body_alignment,alignment_deviation,form_score,form_status,depth_score,alignment_score,symmetry_score,control_score,rep_count,valid_reps,invalid_reps,state,has_pose,detection_confidence,fps,inference_ms
0,0.0,179.3802488543614,176.961348897494,178.1707988759277,2.4188999568674205,157.5737012298771,22.426298770122912,46.791029886623356,POOR,0.0,54.6682662168569,93.95275010783145,57.99999999999999,0,0,0,UNKNOWN,True,0.97,0.0,0.1404289996571606
2,0.06666666666666667,179.91498557891143,175.09400846917063,177.50449702404103,4.820977109740795,158.57955915365136,21.42044084634864,46.901979906413985,POOR,0.0,59.041561537614605,87.94755722564801,57.99999999999999,0,0,0,UP,True,0.97,60.018096056420866,0.10185800056206062
4,0.13333333333333333,179.62047989771628,175.0294619840069,177.3249709408616,4.591017913709379,157.35148547981242,22.648514520187575,45.415124277683255,POOR,0.0,53.702110781793145,88.52245521572655,57.99999999999999,0,0,0,UP,True,0.97,64.57790508997434,0.08264000007329741
6,0.2,178.26644774119745,173.8882501042252,176.07734892271134,4.37819763697226,157.08583053887892,22.914169461121077,45.175027971355945,POOR,0.0,52.54708929947358,89.05450590756935,57.99999999999999,0,0,0,UP,True,0.97,67.00430059288837,0.10673699944163673
8,0.26666666666666666,177.7193922222681,169.76478529094567,173.7420887566069,7.954606931322445,157.8626695901718,22.137330409828195,44.40009165195418,POOR,0.0,55.92465039205132,80.11348267169389,57.99999999999999,0,0,0,UP,True,0.97,67.28478903464575,0.11308699959045043
10,0.3333333333333333,176.33102050970712,162.3575737148518,169.34429711227946,13.973446794855306,158.0215753555598,21.978424644440196,41.597940109824265,POOR,0.0,56.615545024173066,65.06638301286173,57.99999999999999,0,0,0,UP,True,0.97,67.1327428949753,0.08745500053919386
12,0.4,166.71477406798104,159.29188907411842,163.00333157104973,7.422884993862624,158.67212206187332,21.327877938126676,45.72176019246868,POOR,0.0,59.44400896466663,81.44278751534344,57.99999999999999,0,0,0,UP,True,0.97,67.23410872384704,0.109880999843881
14,0.4666666666666667,159.60544795687522,153.7553977008284,156.68042282885182,5.8500502560468135,158.53213013114035,21.46786986885965,46.589014054851525,POOR,4.7422531016402605,58.83534839626239,85.37487435988297,52.20379366752069,0,0,0,UP,True,0.97,66.70306589445076,0.11138500030938303
16,0.5333333333333333,154.60068351293268,151.03333537487333,152.817009443903,3.5673481380593444,157.6442698518638,22.35573014813619,47.64647592597578,POOR,10.261415080138566,54.97508631245136,91.08162965485164,49.29599788614235,0,0,0,UP,True,0.97,66.0248784382039,0.11583300056372536
18,0.6,149.490607423571,144.45356339953366,146.9720854115523,5.037044024037328,157.46753059932905,22.532469400670948,49.1891116951741,POOR,18.611306554925267,54.20665477969153,87.40738993990668,49.31122653403863,0,0,0,UP,True,0.97,65.69953735710423,0.08513699958712095
20,0.6666666666666666,142.36663480262493,137.22020955592274,139.79342217927382,5.146425246702194,157.70772533533912,22.29227466466088,52.40741350394822,POOR,28.866539743894542,55.25097971886574,87.13393688324452,48.72685144235614,0,0,0,UP,True,0.97,65.36885221391418,0.11277099929429824
22,0.7333333333333333,134.6328668184689,134.81177923203342,134.72232302525117,0.17891241356451815,157.41367071394754,22.58632928605246,56.69037397478731,POOR,36.110967106784045,53.9724813649893,99.5527189660887,48.77397820018786,0,0,0,MOVING,True,0.97,65.03641578122067,0.10744599967438262
24,0.8,130.7181199213575,127.02976927634666,128.87394459885206,3.6883506450108428,156.56115924479255,23.43884075520745,56.08495836778983,POOR,44.465793430211335,50.265909759967606,90.7791233874729,47.54811366620784,0,0,0,MOVING,True,0.97,64.91991713009469,0.10967999969579978
26,0.8666666666666667,124.1023676890029,120.0354861749898,122.06892693199634,4.0668815140131045,157.0169575143341,22.98304248566589,59.37061362174097,POOR,54.18724724000522,52.24764136667004,89.83279621496723,47.36793898372474,0,0,0,MOVING,True,0.97,64.76372848004819,0.12055800016241847
28,0.9333333333333333,117.90187709933332,117.92882948147168,117.91535329040249,0.026952382138361486,155.04879405789313,24.951205942106867,60.84094268599303,NEEDS IMPROVEMENT,60.12092387085358,43.69040894736145,99.93261904465409,48.55509515798849,0,0,0,MOVING,True,0.97,64.5823205537108,0.10827799997059628
30,1.0,112.58418869585644,109.43724304728065,111.01071587156855,3.1469456485757945,154.5845711604148,25.41542883958519,61.67301741069814,NEEDS IMPROVEMENT,69.98469161204493,41.67204852354266,92.1326358785605,48.747340971548795,0,0,0,MOVING,True,0.97,64.48717262758647,0.14699199982715072
32,1.0666666666666667,106.21093791996161,104.3160343490743,105.26348613451796,1.8949035708873083,155.43113188216802,24.568868117831983,66.13484470272718,NEEDS IMPROVEMENT,78.19501980783147,45.35274731377399,95.26274107278174,50.089831758445946,0,0,0,MOVING,True,0.97,64.62451769023849,0.12062900077580707
34,1.1333333333333333,102.1076274049124,99.63637464544456,100.87200102517849,2.471252759467845,154.1017463865077,25.8982536134923,66.18761583916533,NEEDS IMPROVEMENT,84.46856996403072,39.57281037612043,93.82186810133038,51.05414058426953,0,0,0,MOVING,True,0.97,64.13572515035364,0.10814600045705447
36,1.2,98.91859210040126,96.447149677324,97.68287088886262,2.4714424230772494,154.6758766858591,25.324123314140905,68.26159036154182,NEEDS IMPROVEMENT,89.02447015876767,42.06902906895259,93.82139394230687,50.84630902382181,0,0,0,MOVING,True,0.97,63.68968929547951,0.10764600028778659
38,1.2666666666666666,96.5529043940983,93.15178664495873,94.85234551952851,3.4011177491395728,154.30920073218707,25.690799267812935,69.25408585767654,NEEDS IMPROVEMENT,93.06807782924497,40.47478579211767,91.49720562715106,54.45892822918766,0,0,0,MOVING,True,0.97,63.54157414524655,0.10955600009765476
40,1.3333333333333333,93.97312659751921,90.84345749840108,92.40829204796015,3.129669099118132,154.8385245763636,25.161475423636404,71.8358984301124,NEEDS IMPROVEMENT,96.55958278862836,42.77619381027651,92.17582725220467,57.99999999999999,0,0,0,MOVING,True,0.97,63.472609842403884,0.11317799999233102
42,1.4,92.19592029188291,90.42185581987134,91.30888805587713,1.774064472011574,154.65790506156256,25.34209493843744,72.74928321165021,NEEDS IMPROVEMENT,98.13015992017552,41.99089157201112,95.56483881997107,57.99999999999999,0,0,0,MOVING,True,0.97,63.80900016249213,0.10618399937811773
44,1.4666666666666666,87.60003522777403,88.06792937483306,87.83398230130354,0.46789414705902743,153.8402289975203,26.159771002479687,72.89678640149698,NEEDS IMPROVEMENT,100.0,38.43577825008831,98.83026463235242,57.99999999999999,0,0,0,MOVING,True,0.97,64.30409395750081,0.11054100014007417
46,1.5333333333333334,91.88022731501572,88.1408378832527,90.01053259913421,3.7393894317630156,153.2086381284778,26.791361871522213,70.59741649342843,NEEDS IMPROVEMENT,99.98495342980827,35.68973099338169,90.65152642059246,58.82352941176471,0,0,0,MOVING,True,0.97,65.01611526283492,0.09296799998992356
48,1.6,89.33454491210506,89.50315979544763,89.41885235377634,0.16861488334257047,152.45382950684944,27.546170493150555,65.87141220494394,NEEDS IMPROVEMENT,100.0,32.40795437760629,99.57846279164357,31.16666666666667,0,0,0,DOWN,True,0.97,65.66844515562384,0.08287799937534146
50,1.6666666666666667,90.60832696767287,91.0427803098693,90.82555363877108,0.4344533421964343,153.1534357437414,26.846564256258603,67.11768951639057,NEEDS IMPROVEMENT,100.0,35.4497206249626,98.91386664450891,33.5,0,0,0,DOWN,True,0.97,66.43973084035848,0.1124299997172784
52,1.7333333333333334,95.66353479653641,93.02714908261561,94.345341939576,2.6363857139208022,153.10167711509638,26.89832288490362,66.41587874244067,NEEDS IMPROVEMENT,100.0,35.22468310911469,93.409035715198,35.833333333333336,0,0,0,DOWN,True,0.97,67.27579215386098,0.10325400035071652
54,1.8,96.92773050347398,97.6484009689677,97.28806573622084,0.7206704654937255,154.49577110269053,25.504228897309474,69.6587864954002,NEEDS IMPROVEMENT,100.0,41.28596131604576,98.19832383626569,38.166666666666664,0,0,0,MOVING,True,0.97,68.06553193306692,0.10616199961077655
56,1.8666666666666667,101.19738937777275,98.90067887060472,100.04903412418874,2.2967105071680294,155.3808829709329,24.619117029067098,70.49192688241543,NEEDS IMPROVEMENT,100.0,45.13427378666479,94.25822373207993,40.5,0,0,0,MOVING,True,0.97,68.84739141943233,0.15010100014478667
58,1.9333333333333333,103.99387068900101,103.64866640232096,103.82126854566098,0.3452042866800582,154.27045355238053,25.72954644761947,70.48596046121429,NEEDS IMPROVEMENT,100.0,40.30631979295883,99.13698928329985,42.833333333333336,0,0,0,MOVING,True,0.97,69.7258798850759,0.08184699981939048
